,id,tconst,release_date,revenue,budget
247,394560,tt4133102,2016-04-08,0,0
248,525638,tt7928844,2018-05-17,0,0
249,263499,tt2943992,2014-05-01,300,0
250,263503,tt2052015,2014-05-02,0,0
251,263510,tt2611026,2014-05-09,0,0
252,263524,tt3091320,2013-08-24,0,0
253,132457,tt1836926,2012-01-01,0,0
254,263537,tt2511254,2016-06-03,0,0
255,263563,tt2502518,2013-05-21,0,0
256,263564,tt1954364,2014-04-29,0,3000000
257,394661,tt2078718,2016-04-29,0,0
258,394668,tt4324916,2016-07-29,0,0
259,132540,tt2115420,2012-03-10,0,0
260,263614,tt3455224,2014-11-07,0,0
261,394689,tt5602318,2016-05-05,0,0
262,394692,tt1472460,2016-06-03,0,0
263,394697,tt3838802,2016-06-02,0,0
264,263627,tt3356654,2014-04-05,0,0
265,132563,tt2284790,2012-08-08,0,3500000
266,394711,tt2515456,2017-11-17,0,0
267,132593,tt1919404,2012-09-11,0,0
268,394741,tt3385524,2018-12-28,24420923,10000000
269,525814,tt8075256,2018-05-25,0,0
270,132601,tt1978567,2012-10-30,0,0
271,525824,tt5357206,2016-04-05,0,20000
272,394770,tt4250438,2017-06-09,0,0
273,525846,tt7528038,2018-05-28,0,0
274,525864,tt5670836,2018-06-02,0,0
275,394822,tt1724597,2017-08-03,1126,0
276,394830,tt4181782,2017-04-27,6554322,0
277,132687,tt1802762,2011-05-11,0,8111
278,263765,,2014-03-20,0,0
279,263768,tt0145682,1934-09-15,0,0
280,525914,tt6421118,2018-06-28,0,0
281,263775,tt2948426,2014-03-31,0,0
282,132709,tt1380279,2011-08-31,0,0
283,263794,tt2027091,2014-03-28,0,114000
284,525947,tt8206406,2018-06-08,0,0
285,525949,tt8289196,2018-05-28,0,0
286,394901,tt4190792,2015-05-30,0,0
287,132759,tt1826660,2012-10-04,13218980,2800000
288,394918,tt5128790,2017-04-01,0,0
289,263855,tt2093995,2014-09-05,0,0
290,263865,tt1784359,2015-04-01,0,0
291,394944,tt5033360,2015-09-27,0,0
292,263876,tt2234534,2011-06-01,0,0
293,526027,tt8187918,2018-06-08,0,0
294,394956,tt4546816,2016-03-31,0,0
295,526030,tt5158800,2018-12-25,0,100000
296,526034,tt3496790,2018-11-09,0,0
297,263903,tt3477732,2014-04-07,0,3300000
298,526051,tt5834760,2018-10-12,1119537,0
299,263913,tt2937254,2014-04-19,0,0
300,526058,tt7941206,2017-01-01,0,0
301,1771,tt0458339,2011-07-22,370569774,140000000
302,132858,tt2070842,2011-10-11,0,0
303,132866,tt2302491,2012-02-11,0,0
304,132868,tt1090246,2006-09-18,0,0
305,263941,tt4033746,2014-04-09,0,0
306,526089,tt8497680,2018-07-15,0,0
307,1813,tt0118971,1997-10-17,152944660,57000000
308,132887,tt2615134,2012-10-09,0,0
309,132890,tt1700443,2012-09-15,0,0
310,263963,tt3642508,2011-02-01,0,50000
311,132894,tt2415710,2012-09-15,0,0
312,263978,tt2955186,2014-06-23,0,0
313,132912,tt1734163,2011-04-09,0,0
314,132923,tt1675161,2011-11-14,0,0
315,1865,tt1298650,2011-05-14,1045713802,380000000
316,526171,tt5178264,2018-06-14,0,0
317,526181,tt8128780,2018-03-11,0,0
318,264039,tt1667141,2010-03-16,0,0
319,395119,tt5667052,2016-09-22,0,0
320,526196,tt5466826,2018-04-01,0,0
321,264068,tt0228933,2013-06-25,0,0
322,264071,tt3581276,2013-11-22,0,0
323,1930,tt0948470,2012-06-23,757930663,215000000
324,526218,tt5270076,2018-03-28,0,0
325,526224,tt6409762,2018-07-01,0,0
326,526238,tt4109998,2016-02-14,0,0
327,395177,tt3702704,2016-04-29,0,0
328,395181,tt4960242,2016-04-29,0,0
329,264114,tt2942792,2013-10-25,0,0
330,526265,tt8557762,2018-06-11,0,0
331,395221,tt5939238,2015-10-02,0,0
